
2023-09-05,17:50:32.979199,1479

2023-09-05,17:50:32.979199,1479

2023-09-05,17:50:32.979199,2654

2023-09-05,17:50:32.979199,6295

2023-09-05,17:50:32.979199,8058

2023-09-05,17:50:32.979199,12173

2023-09-05,17:50:32.979199,16649

2023-09-05,17:50:32.979199,17983

2023-09-05,17:50:32.979199,17985

2023-09-05,17:50:32.979199,18061

2023-09-05,17:50:32.979199,18061

2023-09-05,17:50:32.979199,18105

2023-09-05,17:50:32.979199,18246

2023-09-05,17:50:32.979199,18364

2023-09-05,17:50:32.979199,18447

2023-09-05,17:50:32.979199,18453

2023-09-05,17:50:32.979199,18453

2023-09-05,17:50:32.979199,18518

2023-09-05,17:50:32.979199,18554

2023-09-05,17:50:32.979199,18576

2023-09-05,17:50:32.979199,18592
